itemName,itemId,jobName,itemTypeDetail,SkillName,Value(min),(max),(value)
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,마법사(여),가죽 상의,고출력 매직 미사일,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,거너(여),가죽 상의,패스티스트 건,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,거너(여),가죽 상의,G-35L 섬광류탄,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,도적,가죽 상의,슬라이서,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,마법사(남),가죽 상의,회전투창,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,마법사(남),가죽 상의,블러드,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,마법사(남),가죽 상의,삭풍,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,귀검사(여),가죽 상의,발화,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,마창사,가죽 상의,피어싱 드라이브,1,,
성물 : 라트리의 페더레더 재킷,0a161c4448296189d11f3efd116c9965,총검사,가죽 상의,달빛 가르기,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,거너(남),가죽 상의,데들리 어프로치,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,거너(남),가죽 상의,스커드 제노사이드,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,거너(남),가죽 상의,G-61 중력류탄,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,거너(남),가죽 상의,특수기동전대 '블랙 로즈',1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마법사(여),가죽 상의,트윙클 스매쉬,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마법사(여),가죽 상의,테아나 변신~!!,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마법사(여),가죽 상의,대왕 파리채,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마법사(여),가죽 상의,퓨전 크래프트,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,거너(여),가죽 상의,블러디 스파이크,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,거너(여),가죽 상의,블러디 카니발,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,거너(여),가죽 상의,G-61 중력류탄,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,거너(여),가죽 상의,EMP 스톰,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,도적,가죽 상의,체인소 러시,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,도적,가죽 상의,실버스트림,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,도적,가죽 상의,단검투척,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,도적,가죽 상의,절명의 그림자,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마법사(남),가죽 상의,아이스 오브,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마법사(남),가죽 상의,빙류환,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마법사(남),가죽 상의,럼블독,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마법사(남),가죽 상의,체페슈,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마법사(남),가죽 상의,질풍가도,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마법사(남),가죽 상의,볼텍스 허리케인,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,귀검사(여),가죽 상의,십자검,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,귀검사(여),가죽 상의,열화지옥,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마창사,가죽 상의,광폭 : 흑화연창,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,마창사,가죽 상의,다크 디비젼,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,총검사,가죽 상의,요인 암살,1,,
성물 : 살레오스의 스웨이드 튜닉,64d26b657e8c3c4938be96b9bc3cf4f2,총검사,가죽 상의,목표 포착,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,거너(남),가죽 상의,헤드샷,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,거너(남),가죽 상의,교차 사격,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,마법사(여),가죽 상의,전장의 여신,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,마법사(여),가죽 상의,변이 파리채,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,거너(여),가죽 상의,헤드샷,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,거너(여),가죽 상의,교차 사격,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,도적,가죽 상의,다이빙 애로우,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,마법사(남),가죽 상의,설화연창,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,마법사(남),가죽 상의,블러드 번,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,마법사(남),가죽 상의,윈드니스,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,귀검사(여),가죽 상의,발화,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,마창사,가죽 상의,디스페어,1,,
성물 : 영광의 라트리의 페더레더 재킷,7570c8e84df89cb1d3b175dfdb3704ec,총검사,가죽 상의,달빛 가르기,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,거너(남),가죽 상의,난사,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,거너(남),가죽 상의,멀티 헤드샷,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,거너(남),가죽 상의,G-18C 빙결류탄,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,거너(남),가죽 상의,네이팜 탄,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마법사(여),가죽 상의,쇄패,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마법사(여),가죽 상의,강습유성타,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마법사(여),가죽 상의,용암지대 생성물약,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마법사(여),가죽 상의,성난 불길 가열로,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,거너(여),가죽 상의,권총의 춤,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,거너(여),가죽 상의,멀티 헤드샷,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,거너(여),가죽 상의,G-18C 빙결류탄,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,거너(여),가죽 상의,네이팜 탄,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,도적,가죽 상의,허리케인,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,도적,가죽 상의,소닉 어설트,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,도적,가죽 상의,나락 떨구기,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,도적,가죽 상의,파이널 디스트럭션,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마법사(남),가죽 상의,피어스 오브 아이스,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마법사(남),가죽 상의,아이스 빅 해머,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마법사(남),가죽 상의,토먼트,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마법사(남),가죽 상의,소울 스틸,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마법사(남),가죽 상의,폭풍의 눈,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마법사(남),가죽 상의,휘몰아치는 바람,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,귀검사(여),가죽 상의,난화검,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,귀검사(여),가죽 상의,멸화장,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마창사,가죽 상의,다크 베리얼,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,마창사,가죽 상의,다크 스타,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,총검사,가죽 상의,조준 사격,1,,
성물 : 영광의 불칸의 스웨이드 튜닉,ff30d6068bd9099e8d32fdc2d06b9caf,총검사,가죽 상의,목표 사격,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,거너(남),가죽 상의,스커드 제노사이드,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,거너(남),가죽 상의,특수기동전대 '블랙 로즈',1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,거너(남),가죽 상의,죽음의 표식,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,거너(남),가죽 상의,듀얼 플리커,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마법사(여),가죽 상의,테아나 변신~!!,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마법사(여),가죽 상의,퓨전 크래프트,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마법사(여),가죽 상의,배틀 그루브,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마법사(여),가죽 상의,성공 예감,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,거너(여),가죽 상의,블러디 카니발,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,거너(여),가죽 상의,EMP 스톰,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,거너(여),가죽 상의,베일드 컷,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,거너(여),가죽 상의,병기강화,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,도적,가죽 상의,실버스트림,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,도적,가죽 상의,문아크,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,도적,가죽 상의,절명의 그림자,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,도적,가죽 상의,배후습격,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마법사(남),가죽 상의,빙류환,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마법사(남),가죽 상의,툰드라의 가호,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마법사(남),가죽 상의,체페슈,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마법사(남),가죽 상의,어밴던,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마법사(남),가죽 상의,볼텍스 허리케인,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마법사(남),가죽 상의,풍신의 힘,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,귀검사(여),가죽 상의,열화지옥,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,귀검사(여),가죽 상의,삼매진화,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마창사,가죽 상의,광폭 : 흑화연창,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,마창사,가죽 상의,어둠의 지배자,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,총검사,가죽 상의,요인 암살,1,,
성물 : 영광의 오로바스의 스웨이드 튜닉,d724de4a23e68e947b8843f5e189018c,총검사,가죽 상의,결의,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,거너(남),가죽 상의,난사,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,거너(남),가죽 상의,네이팜 탄,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,마법사(여),가죽 상의,쇄패,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,마법사(여),가죽 상의,애시드 클라우드,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,거너(여),가죽 상의,권총의 춤,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,거너(여),가죽 상의,네이팜 탄,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,도적,가죽 상의,셰이크 다운,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,도적,가죽 상의,심장 찌르기,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,마법사(남),가죽 상의,아이스 빅 해머,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,마법사(남),가죽 상의,소울 스틸,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,마법사(남),가죽 상의,휘몰아치는 바람,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,귀검사(여),가죽 상의,발화,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,마창사,가죽 상의,다크 스타,1,,
성물 : 영광의 이슈타르의 스웨이드 튜닉,b568625c77909fe15818a2fa2032d65c,총검사,가죽 상의,목표 사격,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,거너(남),가죽 상의,난사,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,거너(남),가죽 상의,네이팜 탄,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,마법사(여),가죽 상의,체이서 프레스,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,마법사(여),가죽 상의,메가 드릴,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,거너(여),가죽 상의,권총의 춤,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,거너(여),가죽 상의,네이팜 탄,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,도적,가죽 상의,소닉 어설트,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,도적,가죽 상의,파이널 디스트럭션,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,마법사(남),가죽 상의,아이스맨,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,마법사(남),가죽 상의,소울 스틸,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,마법사(남),가죽 상의,휘몰아치는 바람,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,귀검사(여),가죽 상의,난화검,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,마창사,가죽 상의,다크 스타,1,,
성물 : 영광의 케레스의 스웨이드 튜닉,5d26f7328ac610f070e335ce26eca17d,총검사,가죽 상의,목표 사격,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,거너(남),가죽 상의,더블 건호크,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,거너(남),가죽 상의,죽음의 표식,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,거너(남),가죽 상의,록 온 서포트,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,거너(남),가죽 상의,듀얼 플리커,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마법사(여),가죽 상의,황룡천공,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마법사(여),가죽 상의,배틀 그루브,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마법사(여),가죽 상의,메가 드릴,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마법사(여),가죽 상의,성공 예감,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,거너(여),가죽 상의,더블 건호크,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,거너(여),가죽 상의,베일드 컷,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,거너(여),가죽 상의,록 온 서포트,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,거너(여),가죽 상의,병기강화,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,도적,가죽 상의,엑셀 스트라이크,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,도적,가죽 상의,문아크,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,도적,가죽 상의,암살,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,도적,가죽 상의,배후습격,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마법사(남),가죽 상의,툰드라의 가호,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마법사(남),가죽 상의,블리자드 스톰,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마법사(남),가죽 상의,커럽션,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마법사(남),가죽 상의,어밴던,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마법사(남),가죽 상의,스톰 스트라이크,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마법사(남),가죽 상의,풍신의 힘,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,귀검사(여),가죽 상의,폭검,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,귀검사(여),가죽 상의,삼매진화,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마창사,가죽 상의,흑광폭살,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,마창사,가죽 상의,어둠의 지배자,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,총검사,가죽 상의,블레이드 팰컨,1,,
성물 : 오로바스의 스웨이드 튜닉,c9827b072a7ca95543491d44aa5fa020,총검사,가죽 상의,결의,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,거너(남),가죽 상의,이동사격,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,거너(남),가죽 상의,버스터 샷,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,마법사(여),가죽 상의,퓨전 체이서,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,마법사(여),가죽 상의,용암지대 생성물약,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,거너(여),가죽 상의,이동사격,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,거너(여),가죽 상의,버스터 샷,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,도적,가죽 상의,소드 댄스,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,도적,가죽 상의,홀드업!,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,마법사(남),가죽 상의,피어스 오브 아이스,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,마법사(남),가죽 상의,팽,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,마법사(남),가죽 상의,폭풍의 눈,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,귀검사(여),가죽 상의,회륜,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,마창사,가죽 상의,디퓨젼,1,,
성물 : 이슈타르의 스웨이드 튜닉,9ea7fab57f8b009c67531e2dabe4c208,총검사,가죽 상의,암월비보,1,,
성물 : 케레스의 스웨이드 튜닉,845350d7f8fc42d2eda45e830e458a72,거너(남),가죽 상의,데스 바이 리볼버,1,,
성물 : 케레스의 스웨이드 튜닉,845350d7f8fc42d2eda45e830e458a72,거너(남),가죽 상의,오버 차지,1,,
성물 : 케레스의 스웨이드 튜닉,845350d7f8fc42d2eda45e830e458a72,마법사(여),가죽 상의,전장의 여신,1,,
성물 : 케레스의 스웨이드 튜닉,845350d7f8fc42d2eda45e830e458a72,마법사(여),가죽 상의,고대의 도서관,1,,
성물 : 케레스의 스웨이드 튜닉,845350d7f8fc42d2eda45e830e458a72,거너(여),가죽 상의,데스 바이 리볼버,1,,
성물 : 케레스의 스웨이드 튜닉,845350d7f8fc42d2eda45e830e458a72,거너(여),가죽 상의,오버 차지,1,,
